Genero	CRC25_kraken	CRC24_kraken	CRC09_kraken	CRC21_kraken	CRC22_kraken	CRC20_kraken	CRC04_kraken	CRC03_kraken	CRC02_kraken	CRC01_kraken	CRC18_kraken	CRC16_kraken	CRC32_kraken	CRC33_kraken	CRC06_kraken	CRC10_kraken	CRC05_kraken	CRC27_kraken	CRC13_kraken	CRC15_kraken	CRC11_kraken	CRC12_kraken	CRC07_kraken	CRC08_kraken	CRC28_kraken	CRC17_kraken	CRC30_kraken	CRC31_kraken	CRC19_kraken	CRC34_kraken	CRC26_kraken	CRC29_kraken	CRC23_kraken
Bizionia	2.04E-06	0	0	0	0	0	0	7.89E-06	3.21E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bergeyella	0.00014894	4.04E-05	8.99E-05	5.23E-05	1.64E-05	0.001706052	3.33E-05	6.31E-05	0.000343552	0.00015476	1.57E-05	7.09E-06	1.66E-05	0.000110187	1.96E-05	6.89E-05	0.000532198	0	0.000232194	0.001643995	0.000218906	0.000402985	3.02E-05	0.001433725	2.42E-05	0.000669568	0.001109809	4.99E-06	5.14E-05	0.00069735	0.000358675	0.000261682	0
Chryseobacterium	1.22E-05	0	1.51E-05	4.75E-06	0	2.31E-05	5.55E-06	7.89E-06	6.42E-06	9.29E-05	5.23E-06	0	0	0	4.90E-06	5.74E-06	1.20E-05	0	8.29E-06	5.67E-05	0	4.99E-05	1.81E-05	1.17E-05	0	1.34E-05	3.17E-05	3.33E-06	0	1.96E-05	0	2.49E-05	3.89E-06
Cloacibacterium	1.02E-05	2.89E-06	0	0	5.46E-06	1.38E-05	0	0	3.21E-06	4.64E-05	1.57E-05	3.54E-06	9.22E-07	6.89E-06	0	1.15E-05	1.79E-05	3.53E-06	8.29E-06	4.54E-06	3.65E-05	4.15E-06	0	0	2.01E-06	4.46E-06	2.76E-06	0	0	1.30E-05	1.78E-05	0	0
Fluviicola	0.0001469	2.89E-05	0.00013711	9.50E-06	5.46E-06	0.000442651	2.22E-05	0.000118349	9.63E-06	1.55E-05	0.000146578	1.77E-05	4.61E-06	3.10E-05	8.33E-05	1.72E-05	0.000125575	0	0.00019073	0.000133787	0.000121615	7.06E-05	4.23E-05	0.00088439	6.04E-06	0.000142841	8.27E-05	6.49E-05	6.86E-05	0.001427287	0.001772067	0.00011215	1.17E-05
CandidatusBrownia	2.04E-06	0	1.78E-06	0	0	0	0	0	0	0	0	0	0	3.44E-06	0	0	0	0	0	2.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusSulcia	2.04E-06	0	0	0	0	0	5.55E-06	0	0	0	0	0	0	0	0	0	0	0	8.29E-06	0	0	4.15E-06	0	3.90E-06	0	0	0	1.66E-06	0	0	0	0	0
Bacteroides	0.004037696	0.000251251	0.054694609	0.001026421	0.000169342	0.005982709	0.002410415	0.000378716	0.01003686	0.00066547	0.000774772	0.001339765	0.000192801	0.002637605	0.000499953	0.000465263	0.002942038	9.52E-05	0.000646825	0.02826537	0.003538984	0.019388959	0.000941665	0.008251712	7.05E-05	0.001861399	0.10386572	0.005331054	0.000360051	0.015908706	0.000664081	0.000847352	0.001845953
Butyricimonas	0.000438658	2.89E-06	8.90E-07	0	0	0.000136023	0	0	9.31E-05	3.10E-05	1.05E-05	0	9.22E-07	0	0	2.30E-05	0	0	0	0.000174604	1.22E-05	8.31E-05	0	0	6.04E-06	0	0.000326739	1.66E-06	0	0.000136863	0	0	3.89E-06
Odoribacter	7.75E-05	5.78E-06	3.03E-05	4.75E-05	2.19E-05	0.000488761	6.11E-05	7.89E-06	0.000218332	0.000913087	3.66E-05	1.06E-05	2.77E-06	5.85E-05	2.45E-05	2.30E-05	7.18E-05	0	2.49E-05	2.27E-06	0.000304036	0.000511001	0	0.000296095	1.41E-05	0.00206227	0.000328117	4.99E-06	0	0.00024114	7.10E-05	2.49E-05	8.57E-05
Marinifilum	2.04E-06	2.89E-06	2.76E-05	9.50E-06	5.46E-06	6.92E-06	0	1.58E-05	6.42E-06	1.55E-05	5.23E-06	3.54E-06	2.77E-06	1.03E-05	0	0	0	3.53E-06	1.66E-05	1.59E-05	0	8.31E-06	3.02E-05	1.17E-05	2.01E-06	8.93E-06	1.38E-06	1.66E-06	1.71E-05	1.96E-05	1.42E-05	1.25E-05	0
Sanguibacteroides	2.04E-06	0	8.90E-07	0	0	0	0	0	9.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01E-06	0	0	0	0	1.30E-05	1.42E-05	0	0
Porphyromonas	0.00045498	1.73E-05	0.062370123	4.75E-06	6.01E-05	4.84E-05	3.33E-05	7.10E-05	0.00702516	0.000417853	1.57E-05	1.77E-05	1.11E-05	0.000185941	3.43E-05	5.74E-05	1.79E-05	3.53E-06	8.29E-06	0.000197279	6.08E-05	0.000108016	4.83E-05	7.01E-05	0	3.12E-05	0.007994761	0.000113073	1.71E-05	0.000175967	3.20E-05	3.74E-05	0.000595845
Prevotella9	5.71E-05	1.73E-05	0.000786159	1.43E-05	1.64E-05	0.000281268	2.78E-05	4.73E-05	0.000231175	3.10E-05	4.19E-05	3.54E-05	1.11E-05	6.54E-05	0.000254878	4.02E-05	5.98E-05	2.12E-05	4.15E-05	0.000566895	8.51E-05	0.000407139	5.43E-05	0.000171424	1.01E-05	4.91E-05	0.002516027	0.000417372	1.71E-05	0.005728698	9.94E-05	0.000274143	4.28E-05
Alloprevotella	4.69E-05	5.78E-06	0.000416673	9.50E-06	1.09E-05	0.000195965	1.11E-05	2.37E-05	0.000109166	7.74E-05	4.71E-05	4.61E-05	6.46E-06	7.58E-05	4.90E-05	1.15E-05	9.57E-05	0	1.66E-05	0.000342404	1.22E-05	0.000257578	6.04E-06	0.000140256	4.03E-06	2.23E-05	0.00045771	0.000342544	1.71E-05	0.004301412	2.49E-05	2.49E-05	1.17E-05
Prevotella	2.24E-05	8.66E-06	0.004476567	6.65E-05	0	3.69E-05	4.44E-05	1.58E-05	0.001216881	3.10E-05	1.57E-05	1.06E-05	2.77E-06	0.000809187	9.80E-06	2.30E-05	2.39E-05	3.53E-06	1.66E-05	0.00013152	4.86E-05	8.72E-05	3.62E-05	5.06E-05	2.01E-06	4.46E-06	0.000307438	0.000375801	1.71E-05	0.000808144	1.78E-05	1.25E-05	1.56E-05
Prevotella7	8.16E-06	4.91E-05	0.000149575	0.000114047	5.46E-06	0.010367723	5.55E-06	7.89E-06	7.06E-05	4.64E-05	1.05E-05	3.54E-06	1.66E-05	3.79E-05	1.47E-05	1.72E-05	1.79E-05	2.12E-05	0	2.72E-05	8.51E-05	0.001167409	4.83E-05	1.95E-05	2.01E-06	0.000236581	6.34E-05	0.000126376	0	0.005468007	0.000763516	1.25E-05	1.17E-05
PrevotellaceaeNK3B31group	6.12E-06	0	3.56E-05	0	0	0.000101441	5.55E-06	0	4.50E-05	0	0	0	1.84E-06	6.89E-06	0	0	0	0	0	1.59E-05	0	1.25E-05	1.21E-05	0	0	8.93E-06	1.24E-05	6.15E-05	0	9.12E-05	0	0	7.79E-06
PrevotellaceaeUCG-003	6.12E-06	0	1.34E-05	4.75E-06	0	1.84E-05	0	7.89E-06	3.21E-06	3.10E-05	0	0	0	3.44E-06	1.47E-05	5.74E-06	5.98E-06	0	8.29E-06	9.07E-06	0	1.66E-05	0	7.79E-06	2.01E-06	4.46E-06	1.52E-05	9.98E-06	3.43E-05	2.61E-05	3.55E-06	2.49E-05	7.79E-06
Paraprevotella	4.08E-06	2.89E-06	5.70E-05	0	0	0	0	0	2.25E-05	0	0	0	0	0	4.90E-06	0	0	3.53E-06	0	2.49E-05	8.51E-05	0.000153716	0	0	0	0	6.62E-05	1.16E-05	0	4.56E-05	0	0	0
Prevotella1	4.08E-06	2.89E-06	0.000223472	4.75E-06	0	0.000112968	1.67E-05	0	2.57E-05	7.74E-05	5.23E-06	3.54E-06	3.69E-06	1.03E-05	1.47E-05	1.15E-05	1.79E-05	1.06E-05	8.29E-06	8.39E-05	2.43E-05	7.89E-05	1.21E-05	7.79E-06	0	1.34E-05	0.000135107	0.000143004	1.71E-05	0.00016945	1.42E-05	2.49E-05	1.17E-05
Prevotella2	4.08E-06	2.89E-06	9.97E-05	9.50E-06	0	1.61E-05	5.55E-06	0	1.93E-05	0	0	1.42E-05	2.77E-06	3.44E-06	0	0	0	1.41E-05	0	5.44E-05	4.86E-05	5.82E-05	6.04E-06	1.56E-05	0	0	6.62E-05	0.003097865	0	5.87E-05	1.07E-05	1.25E-05	7.79E-06
PrevotellaceaeUCG-004	4.08E-06	0	4.81E-05	0	0	9.22E-06	0	0	1.61E-05	1.55E-05	0	0	0	0	0	0	0	0	0	1.81E-05	1.22E-05	1.25E-05	0	1.17E-05	0	4.46E-06	3.03E-05	4.99E-06	0	2.61E-05	3.55E-06	0	0
PrevotellaceaeUCG-001	2.04E-06	0	3.56E-05	0	0	2.07E-05	1.11E-05	0.000142019	6.42E-06	0	0	3.54E-06	1.84E-06	1.38E-05	4.90E-06	0	5.98E-06	3.53E-06	8.29E-06	2.95E-05	0	1.66E-05	1.81E-05	1.95E-05	0	0	2.07E-05	2.33E-05	0	4.56E-05	3.55E-06	0	0
Parabacteroides	8.77E-05	2.89E-05	0.000112181	3.80E-05	5.46E-06	0.0006317	3.33E-05	7.89E-06	0.00025044	0.00015476	1.57E-05	4.25E-05	1.66E-05	4.48E-05	2.94E-05	4.02E-05	5.38E-05	1.06E-05	8.29E-06	0.001621319	0.000571588	0.001063547	0	0.000132464	4.03E-05	0.001606964	0.000871304	2.16E-05	3.43E-05	0.000495314	0.00011364	2.49E-05	3.50E-05
Tannerella	2.04E-06	0	1.78E-05	0	0	6.92E-06	0	7.89E-06	9.63E-06	0	1.57E-05	0	9.22E-07	0	0	1.15E-05	0	0	0	1.59E-05	0	8.31E-06	0	3.90E-06	2.01E-06	0	1.38E-05	3.33E-06	0	5.87E-05	0	0	0
Alistipes	4.28E-05	3.75E-05	0.000125536	0.00019483	2.73E-05	0.001436311	6.11E-05	7.89E-05	0.000115588	0.000324997	0.000125639	5.32E-05	0.000119002	6.20E-05	1.96E-05	6.89E-05	3.59E-05	3.88E-05	5.80E-05	0.000988664	0.000437812	0.000456993	3.02E-05	0.000623359	4.43E-05	0.000580292	0.000889226	2.33E-05	0.000342906	0.000273726	0.00025924	0.000149533	0.000144093
RikenellaceaeRC9gutgroup	2.65E-05	1.16E-05	0.000113962	4.75E-06	1.64E-05	0.00184438	1.11E-05	0	3.53E-05	1.55E-05	0	7.09E-06	4.61E-06	1.38E-05	1.47E-05	5.74E-06	0.000382704	2.12E-05	0.000364876	7.94E-05	1.22E-05	0.000245114	1.21E-05	4.68E-05	2.01E-06	3.12E-05	0.000159923	2.16E-05	0	0.000410589	0.000518481	3.74E-05	1.17E-05
DMER64	4.08E-06	0	2.67E-06	0	0	1.38E-05	0	0	0	0	0	0	0	0	4.90E-06	0	0	0	0	0	1.22E-05	0	0	0	0	2.23E-05	1.38E-06	0	0	1.30E-05	0	0	0
Anaerocella	4.08E-06	0	0	0	0	4.61E-06	0	0	3.21E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76E-06	0	0	0	0	0	0
BCf9-17termitegroup	2.04E-06	0	8.90E-07	0	0	2.31E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-06	0	0	0	0	0	0	4.14E-06	0	0	0	0	0	0
M2PB4-61termitegroup	2.04E-06	0	0	0	0	2.31E-06	0	7.89E-06	6.42E-06	0	5.23E-06	0	1.84E-06	0	0	0	0	0	0	0	0	0	0	3.90E-06	0	0	1.38E-06	0	0	0	0	0	0
Rikenella	2.04E-06	0	8.90E-07	0	0	1.15E-05	0	0	0	0	0	0	4.61E-06	0	0	5.74E-06	0	0	8.29E-06	2.27E-06	0	0	0	0	2.01E-06	0	0	0	0	0	0	0	0
SP3-e08	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusArmantifilum	2.04E-06	0	1.16E-05	0	0	2.31E-06	5.55E-06	0	0	0	0	0	0	0	0	0	1.20E-05	0	0	3.63E-05	1.22E-05	2.49E-05	0	1.17E-05	0	0	4.41E-05	0	0	6.52E-06	3.55E-06	0	0
CandidatusSymbiothrix	2.04E-06	0	3.83E-05	0	0	0	0	0	3.21E-06	0	0	0	0	0	0	0	0	0	8.29E-06	4.54E-06	0	0	1.21E-05	0	0	0	9.65E-06	0	0	0	0	0	0
Paludibacter	2.04E-06	2.89E-06	8.01E-06	0	5.46E-06	6.92E-06	0	0	6.42E-06	0	0	0	0	0	0	5.74E-06	0	0	0	4.54E-06	0	0	0	0	0	0	9.65E-06	4.99E-06	0	6.52E-06	0	0	0
Draconibacterium	2.04E-06	0	3.56E-06	0	0	2.31E-06	5.55E-06	0	0	0	0	0	0	3.44E-06	0	0	0	0	0	0	1.22E-05	4.15E-06	6.04E-06	0	2.01E-06	0	8.27E-06	3.33E-06	0	0	0	0	0
WCHB1-32	2.04E-06	0	7.12E-06	0	0	1.15E-05	0	0	3.21E-06	0	0	0	0	0	0	0	0	0	0	4.54E-06	0	4.15E-06	0	1.17E-05	0	8.93E-06	5.51E-06	2.99E-05	0	0.000104277	0	0	0
Barnesiella	4.08E-06	8.66E-06	2.31E-05	0	1.09E-05	6.22E-05	5.55E-06	1.58E-05	8.99E-05	0	5.23E-06	1.77E-05	1.01E-05	0	0	3.45E-05	2.39E-05	0	0	3.17E-05	0.000462135	1.25E-05	0	3.90E-06	0	0.000232117	2.07E-05	3.33E-06	1.71E-05	9.12E-05	0	0	0.000112938
Sediminibacterium	4.08E-06	0	6.23E-06	0	5.46E-06	0	0	0	3.21E-06	0	0	0	0	0	0	0	0	0	0	0	1.22E-05	0	0	0	0	0	0	0	0	1.30E-05	0	0	0
Niastella	2.04E-06	2.89E-06	0	4.75E-06	0	0	5.55E-06	0	0	0	0	3.54E-06	0	0	0	0	0	0	1.66E-05	2.27E-06	0	4.15E-06	0	0	2.01E-06	0	0	1.66E-06	0	6.52E-06	3.55E-06	0	3.89E-06
Flavitalea	2.04E-06	0	0	0	0	4.61E-06	0	0	0	0	0	0	9.22E-07	3.44E-06	0	0	0	0	0	2.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavihumibacter	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.74E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haliscomenobacter	2.04E-06	0	8.90E-07	0	0	4.61E-06	0	7.89E-06	0	0	0	0	0	0	0	0	0	0	0	2.27E-06	0	0	0	0	0	0	0	0	0	6.52E-06	0	0	0
Pedobacter	4.08E-06	0	0	0	0	1.61E-05	0	7.89E-06	2.89E-05	1.55E-05	0	0	0	3.44E-06	0	0	0	0	0	9.07E-06	3.65E-05	2.91E-05	0	0	0	0	9.65E-06	1.66E-06	0	1.30E-05	0	0	3.89E-06
Mucilaginibacter	2.04E-06	0	2.67E-06	0	5.46E-06	2.31E-06	0	0	9.63E-06	0	0	0	1.84E-06	3.44E-06	0	5.74E-06	5.98E-06	3.53E-06	8.29E-06	9.07E-06	0	0	2.41E-05	7.79E-06	2.01E-06	8.93E-06	4.14E-06	0	0	0	0	0	3.89E-06
Pseudopedobacter	2.04E-06	0	0	0	0	0	0	0	3.21E-06	0	0	0	0	0	4.90E-06	5.74E-06	0	0	0	0	0	4.15E-06	0	0	0	0	0	0	0	6.52E-06	7.10E-06	0	0
Sphingobacterium	2.04E-06	0	8.90E-06	0	0	4.61E-06	5.55E-06	0	3.21E-06	4.64E-05	1.05E-05	0	0	0	0	0	0	0	0	1.36E-05	0	1.66E-05	0	0	0	0	1.52E-05	0	0	6.52E-06	1.07E-05	0	3.89E-06
Salinibacter	8.16E-06	0	6.23E-06	9.50E-06	0	3.46E-05	1.67E-05	7.89E-06	1.61E-05	6.19E-05	1.05E-05	2.13E-05	4.61E-06	1.03E-05	9.80E-06	3.45E-05	5.98E-06	3.53E-06	1.66E-05	8.62E-05	3.65E-05	0.000128789	1.21E-05	3.90E-05	4.03E-06	0	4.41E-05	6.65E-06	1.71E-05	6.52E-05	1.42E-05	3.74E-05	1.17E-05
Salisaeta	2.04E-06	0	0	9.50E-06	0	2.31E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27E-06	0	0	0	0	0	0	1.38E-06	0	0	0	0	0	3.89E-06
Chlorobaculum	2.04E-06	2.89E-06	0	0	0	0	0	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobium	2.04E-06	0	0	4.75E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90E-06	0	8.93E-06	0	0	0	0	0	0	0
Lachnoclostridium5	0.124266778	0.006385246	0.100753039	0.003601977	0.000835787	0.107603458	0.015262258	0.048649246	0.007272389	0.002646403	0.010674051	0.002551934	0.001085774	0.022278464	0.014331998	0.0116603	0.057417584	0.000215145	0.011410659	0.054156585	0.022291948	0.159399096	0.002462816	0.041628681	0.000245588	0.008333891	0.042845523	0.007406274	0.003806258	0.0468528	0.039614052	0.004560748	0.007714835
Blautia	0.009799421	0.000721986	0.003554188	0.001021669	0.000415162	0.017443228	0.005626152	0.013602222	0.001743447	0.000758326	0.002690761	0.000783302	0.000393905	0.001935162	0.002700729	0.002871995	0.009346353	5.64E-05	0.002844372	0.019902539	0.003271432	0.038512031	0.000579486	0.014348941	0.000199289	0.00248633	0.010450128	0.001363526	0.0010973	0.016351882	0.01816813	0.001968847	0.003540023
Lachnoclostridium	0.009275071	2.89E-05	0.000170943	5.70E-05	1.09E-05	0.000474928	0.000127741	4.73E-05	4.50E-05	9.29E-05	8.90E-05	1.42E-05	2.77E-06	0.000272025	4.41E-05	3.45E-05	0.000125575	3.53E-06	4.15E-05	0.000437643	0.001593151	0.000581627	3.02E-05	0.000151944	1.01E-05	0.000133914	0.0002647	1.33E-05	1.71E-05	0.000189001	0.000120742	3.74E-05	0.000140199
Hungatella	0.003666367	0	0.003174908	0	0	9.22E-06	5.55E-06	1.58E-05	1.61E-05	3.10E-05	1.05E-05	0	0	4.48E-05	0	0	0	0	0	2.95E-05	2.43E-05	9.56E-05	6.04E-06	3.90E-06	0	3.12E-05	0.000106156	0	0	0.00016945	0	0	1.56E-05
LachnospiraceaeNK4A136group	0.001150713	2.31E-05	0.000328531	2.38E-05	1.64E-05	0.000806916	7.78E-05	5.52E-05	5.14E-05	1.55E-05	0.000167518	7.09E-06	1.20E-05	0.000258251	8.82E-05	5.74E-05	0.000131555	1.76E-05	9.95E-05	0.000176871	0.000218906	0.000585782	4.23E-05	0.000405183	0	0.000147305	0.000146136	2.83E-05	5.14E-05	0.000280243	0.000255689	2.49E-05	6.62E-05
Roseburia	0.000567195	0.000207932	0.000165601	1.43E-05	2.19E-05	0.001201153	0.000588719	0.000607524	8.99E-05	6.19E-05	0.000141343	2.13E-05	2.03E-05	0.000148064	0.000235272	0.000235504	0.000914902	3.53E-06	0.000149267	0.000741498	0.000377005	0.001815508	4.23E-05	0.00113763	4.03E-06	0.000102667	0.000545943	7.82E-05	3.43E-05	0.000280243	0.000426148	8.72E-05	0.000171354
LachnospiraceaeUCG-006	0.000271356	5.78E-06	2.23E-05	4.75E-06	5.46E-06	0.000112968	5.55E-05	7.89E-06	1.93E-05	1.55E-05	1.05E-05	3.54E-06	1.84E-06	1.72E-05	9.80E-06	1.15E-05	2.99E-05	0	0	4.08E-05	6.08E-05	0.000166179	0	4.29E-05	2.01E-06	8.93E-06	1.79E-05	2.16E-05	0	6.52E-06	1.42E-05	1.25E-05	2.34E-05
[Ruminococcus]torquesgroup	0.000261155	1.73E-05	8.55E-05	4.75E-06	1.09E-05	0.000334294	5.00E-05	2.37E-05	1.93E-05	1.55E-05	5.76E-05	7.09E-06	8.30E-06	5.17E-05	1.47E-05	1.15E-05	4.78E-05	0	8.29E-06	0.000181406	0.000194583	0.000402985	6.04E-06	0.000163632	2.01E-06	4.91E-05	0.000103398	3.33E-06	0	8.47E-05	7.10E-05	0	4.67E-05
Oribacterium	0.000242792	0	3.21E-05	0	0	0.000202882	3.33E-05	5.52E-05	0.000269704	1.55E-05	2.09E-05	3.54E-06	1.84E-06	3.44E-05	4.90E-06	1.15E-05	5.38E-05	0	0	3.63E-05	4.86E-05	8.72E-05	1.81E-05	5.06E-05	0	2.68E-05	2.34E-05	1.33E-05	1.71E-05	1.30E-05	2.49E-05	0	3.50E-05
