Genero	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34
[Ruminococcus] gnavus group	0.001022883	0	0	0.026192156	0.012022257	0.005260818	0.020358244	0	0	0.009059048	5.17E-05	0	0	0.00074827	0	0.00014976	0	0.020484454	0	0	0	0	0.017927454	0	0	0	0.012727231	0	0	0	0	0.002604938	0.009920377
[Ruminococcus] torques group	0.008698911	0.000108608	0.027293809	0.002271593	0.000610378	0.000800237	0.001033105	0.000522316	6.68E-05	0.011139595	0.013831845	0.023887089	0.005205938	0.021780423	0.004862768	0.012182977	0.006182582	0.032357738	0.011712907	0	0.010136916	0.011776186	0.000139378	0.00078662	0.004575813	0.000618915	0.004360999	0.00198092	0.000641437	0.001928338	0.015509487	0.007201483	0.002323798
A2	0.012472995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetanaerobacterium	0.000511441	0	0	0	0	0	0	9.79E-05	0	0	3.62E-05	0	0	1.73E-05	0	0.000614016	0	0	0.001374783	0	0	0	0	0	0	0	0.000378718	0	4.45E-05	0	0	0	0
Acetitomaculum	0	2.29E-05	0	0	0	0	0	0	0	0	0	0	0.000659419	0	0	0	0	0	0	0	0	0	0	0	0.002847994	0	0	0	0	0	0	0	0
Acidaminococcus	0.000158723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0.000110224	0.011541034	0	0.000146277	0.000419635	0	0	0	0.001648809	0.004377817	0.000682799	0.00039945	0	0.003338437	1.61E-05	0.001175616	0	0	0.001514078	0	0.000108499	0	0.001689954	0	8.98E-05	0	0	0.000250297	0.000342946	0	0	0	0
Agathobacter	0.005908029	0.002629458	0.036218839	0.013397236	0.069626634	0.004401304	0.0225384	0.041817921	0.001150571	0.075271214	0.002157023	0.145293152	0.011045266	0.090316231	0.023373525	0	0.067256029	0.083487828	0.045313323	0.000597181	0.012208732	0.012877076	0.068991951	0.000707022	0.040368601	0.000250912	0	0.001165668	0.022050184	0.02782833	0.07480628	0.000137827	7.08E-05
Akkermansia	0.004267889	0.000903162	0.000640771	4.30E-05	4.90E-05	5.93E-05	0.000129138	0.000104463	0.000159231	0.002483034	0.038981595	0	0	0	0	0.00089856	0	0.000273531	0	0.000883154	2.58E-05	0.00337773	0.00268302	0	2.11E-05	0	0	0	0.000787507	0	0	0	0
Alistipes	0.022022838	0.003995633	0.000396668	0.010652395	0.004392538	0.004786603	9.12E-05	0.021663054	0.000297916	0.005851538	0.055570499	0.007030314	0.002915325	0.016041765	0.000112838	0.02670221	0.020919373	0.081552847	0.004766317	0.073024257	0.022397313	0.010641936	0.009599638	0.000234113	0.010763199	0.001856746	0.063004958	2.86E-05	0.005449038	8.44E-05	0.090458165	2.07E-05	0.002819227
Alloprevotella	9.70E-05	0	0.000183078	0.000111859	9.81E-05	0.047095436	8.36E-05	0.00018934	0	0.000650171	0	0	0.03875821	0	0	3.00E-05	0	0.000101308	0	0	2.58E-05	0	0.000139378	0	0	0	0	0	0	0.000337459	0	0.001295578	0.040479701
Ammopiptanthus mongolicus	1.76E-05	0	0.000747567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amnibacterium	0	0	0.00021359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	0	0	0	0	0	5.93E-05	0.000516552	0	0.015003647	0	0	0	0	0	0	0	0	0	0	0	0.000170499	0.002843966	0	0	0	0	0	0	0.00132733	0	0	0	0
Anaerofilum	0.000158723	0	0	0	0	0	0	3.26E-05	0	0	0	0	0	0.000535301	0	5.99E-05	0.001095855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofustis	0	0	0	0	0	0	0	0	0	0.000173379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerosporobacter	0.000537895	0.003206795	0	0	0.007749614	0.001793124	0	5.88E-05	0.001458759	0	0	0.000612489	0.009301276	0	0	0	0	0	0.000260421	0.002842916	0	0	0	0.042262094	0.009722281	0	0	0	0.001378137	0.000602606	0	0.002515351	0
Anaerostipes	0.000890613	0.000434432	0.029780612	0.001703695	0.002185369	0	0.002392853	0.001514716	5.65E-05	0.000390103	0	0.004074386	0	0.011172252	0.000521203	0	0.022268746	0.005774549	0.003670125	0	0.001828985	0	0.000191644	0	0.000200786	0	0	0	0.000501718	0	0	0	0.000739212
Anaerotruncus	6.17E-05	0	0	0.000232322	0	0	0.004785707	0.000235042	0.000534194	0	0	0	0	0.000299308	0	0.000434304	0	0	0	0	0	0	0	0	2.11E-05	0	0	0	3.18E-05	0	2.37E-05	0	0
Angelakisella	4.41E-05	5.72E-05	0	0	0	0.000133373	0	0.000391737	0	0	0.000284499	0	0.001093247	0	0	0.000269568	1.64E-05	0	0.000193802	0	0	0	0.001219555	0	0.002932536	0	0	0	0.00014607	0	0.00128158	0	0
Asaccharobacter	4.85E-05	0	0	0	5.99E-05	0	0	0.000306861	0	0	0.000300018	0	0.000815597	0	0	5.99E-05	0	0	0.000205915	0	0	0	0	0	0.00013738	0	0	0	5.72E-05	0	0	0	0
Atopobium	0	0.00016577	0	0	0	0.000385299	0	7.18E-05	0	0	0	0	0	0.000368379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013692453	0	0	0	0
Azospirillum sp. 47_25	0	0	0	3.44E-05	0	0	0	0.013292941	0.000113002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001724799	0	0	0	0.000114763	0	0	0	0	0.013982592	0.000908287
bacterium LWQ8	0	6.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	0.188219214	0.10031382	0.012434016	0.518861106	0.238597658	0.037581506	0.723750779	0.290603536	0.267204627	0.215664784	0.417500336	0.350184191	0.117897148	0.43353057	0.342349603	0.194747916	0.174150917	0.141760123	0.173301356	0.15902668	0.398527512	0.315746895	0.134865326	0.15106381	0.054994293	0.038439664	0.069523503	0.081289243	0.536482513	0.056777506	0.132940157	0.108470184	0.106104394
Barnesiella	1.76E-05	0.001411905	0.000167821	0.001471373	0.001874731	4.45E-05	0	0.000150166	0	0.006340714	0.058860347	0	0	0	0.003621553	0.021737665	0.00342659	0.000303924	0.004245474	0	0.00480496	0.055594939	0.01813652	0	0	0	0.100142306	0.000514896	0	0	0.013539652	0	0.000129755
Bergeyella	0	0.000891729	0	0	0	0	0	0	0	0	0	0	0.001006481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001619472	0
Bifidobacterium	0.010321414	0.00294385	0	0	0	0	0	0.000182811	0	0.002037202	0	0.000381696	0	0.025521775	0	0.0001872	0.00933112	0	0.008121514	0	0.000134332	0.003419431	0.000191644	0	0.007376252	0	4.59E-05	0.001837894	0.002426028	4.82E-05	0.09202454	1.38E-05	0
Bilophila	0	0	0	0	0	0	0	0	9.25E-05	0	8.79E-05	0	0	5.76E-05	0	1.50E-05	0	0	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	0	0	0
Blattella germanica (German cockroach)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006054894	0	0	0	0	0	0	0	0	0	0	0
Blautia	0.00835942	0.001263283	0.006392457	0.00232322	0.008125651	0.009098992	0.000341836	0.015147163	0.000457146	0.009721603	0.003822638	0.033615907	0.009231864	0.016686429	0.007963118	0.008184385	0.017558207	0.010384058	0.001719992	0.001202772	0.000805993	0.0177727	0.005940974	0	0.003064632	0	3.44E-05	0.003003561	0.001937012	0	0.015034828	0	0.00165143
Breznakia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001661449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricicoccus	0.003505136	0.00016577	0.000549233	0.00089487	0.010534462	5.93E-05	0.000341836	0.000633308	0.000148958	0.000204339	0.000832807	0.009764325	0.001978257	0.008679936	2.15E-05	0.00026208	0.000629707	4.05E-05	0.003143226	0.007847458	0.002428313	0.000909068	0.002055821	0.002261532	0.003925899	0	0	0	0.002546695	0.000120521	0	0.000172284	0.000444313
Butyricimonas	0.000917067	0.002949566	0	5.16E-05	0	0	0	0	0	0.002984594	0	0.002334561	0	0.002072133	0	0	0.000441613	0	0.000109014	0	0.000149832	0	0	0.002842133	0	0	0.0085269	0	0.001454347	0	0.000154264	0	0.000393198
Butyrivibrio	0	0.00768259	0	0.000129068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013642634	0	0	0	0	0.018984867	0	0.028851451	0	0	0	0	0	0
CAG-352	0	0	0	0.000283949	0	5.93E-05	0	0.036242198	0	6.19E-05	0	0	0.009388042	0	0	0	0	0.023108329	0	0.003995223	0	0.000842348	0.000714311	0	0	0	0.042496787	0	0	0	0	0	0.007368525
CAG-56	0.000692209	0	0	0	0.004130948	0.003571429	0.000258276	0.002624638	0.000164367	0	0	0.001118459	0.001405603	0	0.000644787	0	0.011285666	0.004376501	0.003100832	0.006266191	0	0	0.001620266	0	0.001151879	0	0	0	0.000215929	0	0.016090945	0	0
Campylobacter	0	0	0	4.30E-05	0	0	0.001276188	0	0.018116351	0.028496062	0	0	0	0.000995775	0.172453629	0	0	0	0	0	0	0	0	0.000112374	0	0	0	0	0.001714732	0.030335169	0	0.015939742	0.000428585
Candidatus Gastranaerophilales bacterium Zag_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133441	0	0	0	0	0	0	0	0	0	0	0
Candidatus Melainabacteria bacterium MEL.A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000258542	0	0	0	0	0	0	0	0	0	0	0
Candidatus Saccharimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000879804	0	0	0
Candidatus Soleaferrea	0.000798025	0	0	0	0	0	0	4.57E-05	0	0	0.000237945	4.44E-05	0	0.000166922	1.07E-05	0	0	0	0	0	0	0	0	0	0	0	0.000275432	0	0	0	0	0	0.000562273
Candidatus Stoquefichus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.08E-05	0	0	0	0
Capnocytophaga	0.000149905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caproiciproducens	0.000163132	0	0	0.006935242	0	0	0.000432993	0	0.001022159	0.000377718	0	0	0	0.001916723	0	0.001355328	0	6.08E-05	8.48E-05	0	0	2.50E-05	0	2.81E-05	0	0	0	0	0.000463613	0	0	0	0.000452177
Cardiobacterium	0	0	0	6.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catabacter	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenibacterium	0	0	0	0	0	0	0	0.003205714	0	0	0	0.00430518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter	0	0	0.001373082	0	0	0	0	0	0	0	0	0.000142027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000261872	0
Christensenella	0	0	0	0	0	0	0	0	0	0	6.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Christensenellaceae R-7 group	0.028283585	0.008345671	0.001067952	0.007219192	0.003575068	0.005764671	0	0.012359301	0.001469032	0.056267647	0	0.002041632	0.011496447	1.73E-05	0	0.067339588	0.002576076	0.102776849	0.003373366	0.024913367	0.00719194	0.000767287	0.036586641	9.36E-05	0.017431416	0	0.164042416	0.001308695	0.002756273	0	0.02223778	0.000468613	0.001855893
Chryseobacterium	0	0	0	0.003768779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacillus	0.014188087	0	0	4.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003695373	2.15E-05	0	0	0	0	0
Cloacibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.71E-05	0	0	0	0	0	0	0	0	0	0
Clostridiales bacterium canine oral taxon 162	0	0	0	0.000404412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056532317	0	0	0	0	0	0.000790327
Clostridiales bacterium canine oral taxon 260	0	0	0	0	0	4.45E-05	0	1.31E-05	0	0	0	0	0	0	0	5.24E-05	0	0	6.66E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales bacterium enrichment culture clone 06-1235251-67	0	0	0	0	0	0	0	0	0	0.005671967	0	0	0	0	0	0.002650752	0	0.000536932	0	0	0	0	0	0	0.000158515	0	0.000149192	0	0.000323894	0	0	0	0
Clostridioides	0.000286583	0	0.018033137	0	0.005989329	7.41E-05	0.010255086	0.000391737	6.16E-05	0.021127458	0	0	0.004702698	0.0015541	0	0	0.000130848	0.006189912	0.017254432	8.41E-05	0	0	0.000452977	1.40E-05	5.28E-05	0	0	0	0.000914524	0	5.93E-05	0.000833856	3.54E-05
Clostridium sensu stricto 1	3.97E-05	0.002120715	0.064641626	0.033669483	0.037739859	0.076778305	3.80E-05	0.00031339	0.000667742	0.001232229	0	7.99E-05	0.001570458	0.004696835	0.054651063	5.99E-05	0.007523778	0.004335977	0.047820636	0.030977694	4.13E-05	4.17E-05	8.71E-05	0.003886277	0.006219089	0.007661169	0	0.007044067	0.000806559	0.004085666	0.000296662	0.01080567	0.00103411
Clostridium sensu stricto 13	0	0	0	0	3.81E-05	0	0	0	0	0	0	0	0.003869747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium sensu stricto 2	0	0	6.10E-05	0	4.36E-05	0	0	0	0.000143821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004911693	0	0.002341842	0	0	0.000323894	0	0	0.006539911	0.000200531
Clostridium sp. CAG:306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella	0.006653146	0.002789512	0.006911177	0.008286152	0.004196345	0.001600474	0.002294101	0.010237393	0.00026196	0.020892158	0.007955639	0.004793396	0	0	0.005964279	0.00292032	0.017631809	0.005713765	0.010204885	0.009176395	4.13E-05	0.000291903	0.003066309	0.000763209	0.01741028	0	0.00021805	0.000829555	0.002851536	0.001759609	0.00064079	0.000413482	0.0006763
Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000241749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacter	0	0.000514459	0	0	0	0.000474215	0	0	0	0	0.010800633	0	0	0	0	0	0.00016356	0	0.002664777	0.030784241	0.015820201	0.000250202	0.001167288	0	0	0	0.002696934	0	0.000539823	0	0	0	7.47E-05
Coprococcus 1	0.002072219	0.000108608	6.10E-05	0	0.004806723	0.000326023	0	0.004837951	0.000128412	0.001133155	0.000300018	0.010367938	0.000433828	0.003908274	0	0	0.002363448	0.009036663	0.003058437	0.000496249	0.000118832	0.011826226	0.001289244	0.000416721	0.003978738	0	0.000895152	0	0.00140354	0	0.013373521	0.000344569	0.000200531
Coprococcus 2	0.000370354	0.000314392	0	0	0.004468835	0	0	0.022361652	0	0.021536137	0	0.010234788	0	0	0	0	0.000253519	0.013686695	0.009768831	0	0.000273831	0.001409473	8.71E-05	0	0.007677432	0	0	0	0.000501718	0	0.020493408	0	0
Coprococcus 3	0.000229267	0.000160054	0	0	0.002305265	0.00019265	0	0.003395054	0.00010273	0.000637787	0.037078036	0.006062758	0.00080692	0	0.000854343	0	0.001251237	0	0.005153921	9.25E-05	0.087832601	0.024886783	0.001393777	0.00010301	0.004205943	0	0	0	0.000546174	0	0.004900856	0.000792508	0
Corynebacterium	0.000101406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium 1	0.006415061	0.004264295	0	0.000258136	0	0.004386485	0	0	0	0	0.020768459	0	0.000225591	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036506151	0	0	0	0	0	0
Cuneatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium	0	0	0.024364568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium	0.000145496	0.000320108	0	0	0	0	0	0	0	0	0	0	6.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus	0	0	0.001159491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermabacter	2.20E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio	3.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister	8.82E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64E-05	0	4.85E-05	0	0	0	0	0	0	0	0	0	0.001314628	0	0	0	0
Dielma	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000161166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72E-05	0	0	0	0
Dietzia	0	0	0	0	0	0	0	0	0	0	7.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNF00809	0	0	0	0	0	0	0	0.000306861	0	0	0	0	0	0	0	0	3.27E-05	0	0	0	0	0	0	0	0	0	0	0	4.45E-05	0	0	0	0
Dolosigranulum	0.000956748	0.001549094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea	0.003465456	0.000154338	0.006133097	0.02406684	0.020523944	0.001511559	0.001055894	0.003675798	0.000369826	0.005083717	0.000843153	0.011947983	0.036779954	0.011264347	0.009070002	0	0.020453226	0.01670567	0.006492366	0	0.000196332	0.022643303	0.003031465	0.003586612	0.00277402	0	0.008492472	0.001973769	0.001365435	0	0.012293672	0.005623359	0.001163865
DTU089	4.85E-05	0	0	0	0	0	0	0.000274216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella	5.29E-05	0	0.004409117	0.000103254	0	0	0	0.00012405	7.70E-05	0.003071283	0.000584517	0.00018641	0	0.000247505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45E-05	0	0	0.000137827	0
Eisenbergiella	0.003941625	0	0	0.002572751	0	0	0.005249085	0	0.003559578	4.95E-05	9.31E-05	0	0.000459858	0	0	0.004425408	0	0.000141831	0	0	0	0	0	0	0	0	0.000206574	0	0	0	0	0.000130936	0.000196599
Enorma	0.000268948	0	0	0	0	0	0	0	0	0	0	0	0	0.001473517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterorhabdus	0	3.43E-05	0	0	0	0.000963248	0	7.18E-05	0	0	0	0	0.000485888	0	0	0	0.000515215	0	0	0	0	0	0	0	0.00465507	0	0	4.29E-05	0	0	0	0.000923444	0.000283102
Erysipelatoclostridium	0.000493805	0.000160054	0	0.000826034	4.90E-05	0	0	0	0.000164367	0.00391341	0	0.000257423	0	0.000938216	0	0	0	0	0	0	0	0	0	0	0.000163799	0	0	0.000100119	9.53E-05	0	0	0	0
Erysipelotrichaceae UCG-003	0	0.000474446	0.00495835	0	0.001188056	0	0	0	0	0	0.000160354	0.001420265	0	0.001197233	4.30E-05	0	0.000686954	0.002431389	0	0.000201864	2.07E-05	0.000133441	0.000418133	7.49E-05	3.70E-05	0	0	0	0.00044456	0	0	0	3.15E-05
Escherichia-Shigella	8.82E-06	0.000108608	0	0.000421621	2.18E-05	0	1.52E-05	5.22E-05	0	0	5.17E-05	0	0	0	0	1.50E-05	1.64E-05	3.04E-05	0.000102957	0	0	0	0	0	0	0	0	0	3.18E-05	0	0	0	0
F0058	0	0	0	0	0	0	0	0	0	2.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000314558
Faecalibacterium	0.083810238	0.016068274	0.056631984	0.081717118	0.141820124	0.033417309	0.005469379	0.136357107	0.006251092	0.032161787	0.00637796	0.094145844	0.105480985	0.114542922	0.011627657	0.147491145	0.259365876	0.091136573	0.145339365	0.053704202	0.304303797	0.233363636	0.064531865	0.002949825	0.21224162	0.003613128	0.050415443	0.165481929	0.069586369	0.015462861	0.242918679	0.035552585	0.031035093
Faecalitalea	2.65E-05	0	0	0	0	0	0	0.000659424	0	0	0	0	0	0.000385647	6.99E-05	0	0	0	0.000127183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Family XIII AD3011 group	0.002116309	0.007671158	9.15E-05	0.000275345	0.000316088	0	0	0.00161265	8.73E-05	0.0014118	0.000212081	0.000168657	2.60E-05	0.000794318	0	0	0.000171738	0	0.000987179	0.000370084	0	0	0.000400711	0.000299665	0.000327599	0	0.002134594	0	0.000139719	0	0.000142398	8.96E-05	0.00101445
Family XIII UCG-001	0	0	0.000198334	0	0	0.000148192	0	0.000470084	0	0	0	0	0.000598683	0	0	0	0.000106314	0	0	0	0	0	0	0	0	0.021294035	0	0	0	0	0	2.07E-05	0.00027917
Finegoldia	0	0	0	0	0	0	0	0	0	0	0.003796774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor	6.61E-05	0	0	0.000318367	0	7.41E-05	0.002476413	7.83E-05	0.00593263	0.003684302	0.013438719	0	0.000815597	0.000892168	0	0.00142272	0	5.07E-05	0.001847175	0	0.001286489	0	0	0	0	0	0.019131014	0	0.00207038	0	0	0	0.000235919
Flexilinea	0	0.000222932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fournierella	0.000180768	0.000177203	0	0	0.006812249	0	0	0	0	0	0	0	0	0	0	0	0	0	8.48E-05	0	0.002216482	0	0	0	0	0	0.000183621	0	0	0	0	2.76E-05	0
Fretibacterium	0	0.018954962	0	0	0	0	0.003266435	0	0	0.000321989	0	0	0.000763538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019705205	0	0	0.019325666
Fusicatenibacter	0.010568317	0.001023202	0.000366155	0.006418971	0.002942892	0.00130409	0.016332174	0.010727064	0	0.004891762	0.000294845	0.025946474	0.007435815	0.005462374	0.000940314	0.005923008	0.033971491	0.013200417	0.004560403	0.000134576	0.000268664	0.001050849	0.001620266	0	0.002990658	0	0	0.000293205	0.002210099	0	0.030390051	0.000668463	7.08E-05
Fusobacterium	0.022296195	0.130729789	0.000457694	0.013276773	0.003765811	0	0.02656447	0	0.103921186	0.01871873	5.17E-05	0.017096445	0.002984738	0.005030679	0.1361575	0	0	0.055901691	0	0.012120244	0	0.016546709	0.003676086	0.517151125	0.000734455	0.03317052	6.89E-05	0	0.013070069	0.163523074	0.000142398	0.094515158	0.002945051
GCA-900066225	8.82E-05	0	0	0	0.000697574	0	0	0	0	0	5.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022228	0	0	0	0
